GEOGRAPHY_ID,SUB_DISTRICT,ULB_RLB_VILLAGE
83,Kurabalakota,Angallu
84,Mentada,Gurlatammaraju Peta
85,Sattenapalle,Panidem
86,Thotapalligudur,Koduru-I
87,Vetapalem,Pandilla Palle
88,Pakala,Damalcheruvu
89,Durgi,Obulesunipalle
90,Kodur,Anantharajupeta
91,Rompicherla,Thurumella
92,Muppalla,Dammalapadu
93,Kambhamvaripalle,Garnimitta
94,Rolla,Bommagundanahalli
95,Mopidevi,Mopidevi
96,Repalle,Singupalem
97,Devanakonda,P.Kotakonda
98,Settur,Lakshmanpalle
99,Chilakaluripet H/O.Purushotha Patnam,Rajapeta
100,Pedakakani,Nambur
101,Vatticherukuru,Vatticherukuru
102,Dhone,Eddupenta
103,Chennekothapalle,Chennekothapalle
104,Darsi,Potha Kamuru
105,Sirvel,Govindpalle
106,Nuzvid,Ravicherla
107,Puttaparthi,Vengalammacheruvu
108,Ponnur,Mamillapalle
109,Devarapalle,Alamanda
110,Vatsavai,Makkapeta
111,Kundurpi,Kundurpi
112,Kanaganapalle,Maddalacheruvu
113,Roddam,Roddam
114,Simhadripuram,Balapanur
115,Gara,Ramachandra Puram
116,Cherukupalle H/O Arumbaka,Gudavalli
117,Ardhaveedu,Papineni Palle
118,Nandivada,Janardhanapuram
119,Pamidi,Palyam
120,Nizampatnam,Adavuladeevi
121,Kovur,Leguntapadu
122,Narasapuram,Lakshmaneswaram
123,Chodavaram,Chakipalle
124,Koyyalagudem,Rajavaram
125,Ganapavaram,Kommara
126,Palacoderu,Garagaparru
127,Chatrai,Chanubanda
128,Kankipadu,Kunderu
129,Bhattiprolu,Pallekona
130,Polaki,Mabagam
131,Gandepalle,Mallepalle
132,Buchireddipalem,Minagallu
133,Duvvur,Chintakunta
134,Pullampeta,Reddipalle
135,Vadamalapeta,Seetharama Puram
136,Kotauratla,Kodavatipudi
137,Ramachandrapuram,Jagannaikulapalem
138,Podalakur,Navooru
139,Mudinepalle,Chevuru
140,Rajam,Anthakapalli
141,Ichchapuram,Edupuram
142,Ramakuppam,Ramakuppam
143,Pedavegi,Vegivadavaram
144,Rentachintala,Paluvoi
145,Bhimavaram,Vempa
146,Paravada,Thadi
147,Mogalthur,Mutyalapalle
148,Tada,Karur
149,Veerapunayunipalle,Animela
150,Samalkota,Pedabrahmadevam
151,Kamalapuram,Peddacheppalle
152,Pedacherlo Palle,Peda Irla Padu
153,Nuzendla,Puvvada
154,Ainavilli,Totharamudi
155,Nidadavole,Korumamidi
156,Atchampet,Konuru
157,Vizianagaram,Jammu Narayana Puram (R) (Part)
158,Martur,Kolala Pudi
159,Karapa,Karapa
160,Brahmamgarimattam,Somireddipalle
161,Janakavarampanguluru,Chandalur
162,Bapulapadu,Remalle
163,Peravali,Kanuru
164,Kadiam,Jegurupadu
165,Jaggampeta,Katravulapalle
166,Jaladanki,Annavaram
167,Machavaram,Akurajupalle
168,Mylavaram,Pulluru
169,Allagadda,Padakandla
170,Vidapanakal,Gadekal
171,Denduluru,Kovvali
172,Kirlampudi,Veeravaram
173,Alamuru,Alamuru
174,A.Konduru,Kambampadu
175,Gantyada,Pedavemali
176,Kothapalle,P. Isukapalle
177,Kundurpi,Bestharapalle
178,Gopalapuram,Dondapudi
179,Kondapi,Muppavaram
180,Medikonduru,Korrapadu
181,Pullampeta,Pullampeta
182,Medikonduru,Pericherla
183,Ballikurava,Gorre Padu
184,Holagunda,Gajjehalli
185,Seethanagaram,Pedabhogila
186,Kandukur,Ogur
187,Madakasira,Kallumarri
188,Tuni,N. Suravaram
189,Kanigiri,Chakirala
190,Bogole,Bitragunta
191,Sodam,Sodam
192,Madugula,Madugula Koduru
193,Bhimavaram,Anakoderu
194,Kalyandurg,Palavoy
195,Iragavaram,Iragavaram
196,Narasaraopet,Lingamguntla Agraharam (Part)
197,Kaviti,Borivanka
198,B.Kothakota,Badikayalapalle
199,Kalakada,Kalakada
200,Ranastalam,Ranastalam
201,Pattikonda,Nalakadoddi
202,Tuni,Kothakonda
203,Tadepalligudem,Kunavaram
204,Rowthulapudi,Billavaka
205,Kondapi,C G Mamidalavarikhandrika
206,Bukkaraya Samudram,Chennarayunipalle
207,G.Madugula,Porlubanda
208,Allur,Anathabotlavari Khandrika
209,G.Madugula,Kichannoli
210,Tallur,Sarvamitta
211,G.Madugula,Donimamidi
212,Jeelugu Milli,Khandrikapadu
213,Koyyuru,Gantavari Kothagudem
214,Koyyuru,Bandivalasa
215,Tallapudi,Veerabhadrapuram
216,Munchingi Puttu,Jadiguda
217,Munchingi Puttu,Nadimiveedhi
218,Ananthagiri,Gulamalapalle
219,Addanki,Narasimha Puram
220,Unknown Subdistricts Of India,Zeelugulova
221,Balayapalle,Challanarasu Khandrika
222,Meliaputti,Jagannadhapuram
223,Kanigiri,Ayyanapalem
224,Sydapuram,Thimmanaramapuram
225,Munchingi Puttu,Siragamputtu
226,Sangam,Kaligiri Konduru
227,Chandra Sekhara Puram,Malameedi Palle
228,G.Madugula,Addulu
229,Meliaputti,Bellupadu
230,Araku Valley,Gojara
231,Srungavarapukota,Mallipudi
232,Koyyuru,Agraharam
233,Munchingi Puttu,Patruniputtu
234,Munchingi Puttu,Chilliputtu
235,Paravada,Pinamadaka
236,Srungavarapukota,Jirayathi Mukundapuram
237,Ananthagiri,Dumbrivalasa
238,Paderu,Kappalagondi
239,Baireddipalle,Donthirallapalle
240,Ananthagiri,Pandirimamidi
241,Araku Valley,Chendrapodaru
242,Munagapaka,Challamalla
243,Golugonda,Gopalapatnam
244,Atmakur,Pothurajukunta
245,Gangadhara Nellore,B.C.Khandriga
246,Ananthagiri,Kothavalasa
247,Koyyuru,Ramannapalem
248,Kanigiri,Punugodu Khandrika
249,Brahmamgarimattam,D.Narasimhapuram
250,Devipatnam,Kothapalle
251,G.Madugula,Chittampadu
252,Jalumuru,Mohiddinpuram
253,Ainavilli,Kotipalli Bhaga
254,Bapulapadu,Kuripirala
255,Ananthagiri,Regapunayagiri
256,Venkatagiri,Alivelu Mangapuram
257,Ananthagiri,Pooluguda
258,Vontimitta,Madhavaram
259,Pedacherlo Palle,Pitchi Gunta Palle
260,Khajipet,Buddayapalem
261,Doravarisatram,Damaraya Khandrika
262,Balijipeta,Gudivada Agraharam
263,Koyyuru,Dhonipalem
264,Y. Ramavaram,Gellavada
265,Gummalakshmipuram,Tummiguda
266,Ramakuppam,Chennareddipalle
267,Ramakuppam,Krishnapuram Dinne
268,Munchingi Puttu,Patha Pedaguda
269,Dhone,Kotha Buruju
270,Peddamudium,Kondasunkesula
271,Kondapuram,Bedaduru
272,Puttur,Vepagunta
273,Penuganchiprolu,Muchintala @ Bodapadu
274,Kasimkota,Eswarapalle Chowduvada
275,Amaravathi,Endroyi
276,Balayapalle,Jayampu
277,Tadikonda,Pamulapadu
278,Nandigama,Kanchela
279,Santhakaviti,Valtair
280,Bangarupalem,Nallangadu
281,Rambilli,Zirayati Chintuva
282,Lingapalem,Mulagalampadu
283,Thavanampalle,Uthara Brahmanapalle
284,Bommanahal,Bandur
285,Bommanahal,Nemakallu
286,Donakonda,Aravallipadu
287,Brahmasamudram,Theetakal
288,Atchutapuram,Dosuru
289,Kowthalam,Upparahal
290,Sydapuram,Utukur
291,Anakapalle,Gopalapuram
292,Maddipadu,Nelatur
293,Bukkaraya Samudram,Janthulur
294,Jaladanki,Somavarappadu
295,Ambajipeta,Mukkamala
296,Rajavommangi,Aminabada
297,Ramasamudram,Elavanellore
298,Jammalamadugu,Goriganur
299,Chandragiri,Ithepalle
300,Pamur,Ayyavaripalle
301,Gudem Kotha Veedhi,Rinthada
302,Addanki,Vemparala
303,Tirupati (Rural),Yogimallvaram
304,Sullurpeta,Mangalampadu
305,Putlur,Madugupalle
306,Gandlapenta,Somayajulapalle
307,Marripudi,Kuchipudi
308,Donakonda,Indla Cheruvu
309,Puttaparthi,Beedupalle
310,Merakamudidam,Bhyripuram
311,Pamidimukkala,Tadanki
312,Manubolu,Cherukumudi
313,Meliaputti,Gangarajapuram
314,Owk,Sangapatnam
315,Bondapalle,Kanimeraka
316,Ponduru,Kanimetta
317,Ananthasagaram,Amanichiruvella
318,Pentapadu,B.Kondepadu
319,Nellore,Penubarthi
320,Kamavarapukota,Edavalli
321,Hindupur,Thumukunta
322,Garividi,Thondrangi
323,Mandavalli,Pulaparru
324,Puthalapattu,Polavaram
325,Rambilli,Haripuram
326,Saravakota,Govardhanapuram
327,Kanchili,Gokarnapuram
328,Etcherla,Santhaseetharampuram
329,Narsipatnam,Yerakannapalem
330,Vidapanakal,Poliki
331,Yellanur,Bukkapuram
332,Marripudi,Thangella
333,Uyyalawada,Allur
334,Cheedikada,Chukkapalle
335,Kondapi,Pedakandlagunta
336,Sydapuram,Orupalle @ Turimerla
337,Seethanagaram,Chinabhogila
338,Pakala,Maddinayanipalle
339,Dornipadu,Kristipadu
340,Vidapanakal,Cheekalaguriki
341,Ulavapadu,Veerepalle
342,Kotabommali,Regulapadu
343,Karempudi,Narmalapadu
344,Vepada,Nallabilli Kasipathirajapuram
345,Jeelugu Milli,Mulagalampalle
346,Kalikiri,Pathegada
347,Veerullapadu,Vellanki
348,Parvathipuram,Balagudaba
349,Ibrahimpatnam,Damuluru
350,Chagalamarri,Settiveedu
351,Kapileswarapuram,Thatapudi
352,Singanamala,Joolakalva
353,Nagari,Mudipalle
354,Dattirajeru,Ingilapalle
355,Chebrolu,Manchala
356,Munagapaka,Ummalada
357,Yadamarri,Patrapalle
358,Gajapathinagaram,Jinnam
359,Thondur,Inagalur
360,Putlur,Kummanamala
361,Mandasa,Loharibanda
362,Regidi Amadalavalasa,Amadalavalasa
363,Tanakal,Ethodu
364,Pamidi,Eddulapalle
365,Pamidi,Katrimala
366,Mandasa,Budarasingi
367,Penukonda,Nagalur
368,Kaikalur,Pallevada
369,Kanigiri,Chinaalavala Padu
370,Kuppam,Vasanadu
371,Nagari,Adavikothuru
372,Parchur,Adusumalle
373,Ramasamudram,Kudurucheemanapalle
374,Gudupalle,Settipalle @ K.Bandarlapalle
375,K.V.B.Puram,Srinivasapuram
376,Thottambedu,Kallipudi
377,Gangavaram,Mogilpalle
378,Bheemunipatnam,Nerellavalasa (Part)
379,Nandyal,Gunthanala
380,Narsipatnam,Duggada
381,Gampalagudem,Rajavaram
382,Gandlapenta,Jeenulakunta
383,Meliaputti,Mara
384,Gangavaram,Lakkonda
385,Gudem Kotha Veedhi,Pujaripakalu
386,Vuyyuru,Saipuram
387,Chinnagottigallu,Rangannagari Gadda
388,Vakadu,Tirumur
389,Nindra,Netteri
390,Satyavedu,Senneri
391,Kanekal,Bidurukontham
392,Vadamalapeta,Pudi
393,Korisapadu,Somavarappadu
394,Sydapuram,Lingasamudram
395,Santhabommali,Kapugodeyavalasa
396,Therlam,Punuvalasa
397,Konakanamitla,Ambapuram
398,Jalumuru,Kondapolavalasa
399,Bobbili,Gorla Seetharampuram
400,Repalle,Visweswaram
401,Porumamilla,Venkataramapuram
402,Vinjamur,Ravipadu
403,Vinjamur,Chinthalapalem
404,Lakkavarapukota,Pothampeta
405,Merakamudidam,Billalavalasa
406,Regidi Amadalavalasa,Vannali
407,Addateegala,Konalova
408,Brahmamgarimattam,Papireddipalle
409,Bobbili,Janardhanarangarayapuram @ Kunukuvanivalasa
410,Sanjamala,Mudigedu
411,Tallur,Ramabhadrapuram
412,Jeelugu Milli,Vankavarigudem
413,Amadalavalasa,Ponnampeta
414,Bestawaripeta,Chinthala Palem
415,Ramachandrapuram,Sorakayalapalem
416,Mentada,Iddanavalasa
417,Midthur,Byrapuram
418,Makkuva,Papayyavalasa
419,Seethampeta,Sambham
420,Gampalagudem,Ummadidevarapalle
421,Ponduru,Gorinta
422,Sompeta,Rajam
423,Golugonda,Gadampalem
424,Lakshminarsupeta,Krishnapuram
425,Tanakal,Korthikota
426,Chillakur,Pallamala
427,G.Madugula,Vanthala
428,Ichchapuram,Haripuram
429,Kallur,Chetla Mallapuram
430,Kurichedu,West Kasipuram
431,Kuppam,Peddagopanapalle
432,Dumbriguda,Bairaguda
433,Peda Bayalu,Sadaru Mamidi
434,Gudem Kotha Veedhi,Panasalapadu
435,Chilamathur,Kanugamakulapalle
436,Hukumpeta,Reedabanda
437,Salur,Annamrajuvalasa
438,Kurupam,Megada
439,Munchingi Puttu,Kadamjola
440,Seethampeta,Geddakola
441,Addateegala,Tirumalawada
442,Peda Bayalu,Rasiguppa
443,Chintapalle,Yerranabilli
444,G.Madugula,Mittalapadu
445,Komarada,Vutakosu
446,G.Madugula,Pedajageeru
447,Hanumanthuni Padu,Annada Puram
448,Munchingi Puttu,Allangipada
449,Peda Bayalu,Peda Vancharangi
450,Gummalakshmipuram,Gedrajola
451,Hukumpeta,Ganika
452,Munchingi Puttu,Gorrelametta
453,Paderu,Nereduvalasa
454,Koyyuru,Pedalanka Kothuru
455,Y. Ramavaram,Veerampalem
456,Hukumpeta,Dalamputtu
457,Kunavaram,Seetarampuram
458,Peda Bayalu,Gindali
459,Pachipenta,Turaipadu
460,G.Madugula,Kappalu
461,Gudipala,Bandarlapalle
462,Y. Ramavaram,Buruguwada
463,Peda Bayalu,Pothulagaruvu
464,Vangara,V P R Peta
465,Munchingi Puttu,Malluduputtu
466,Chintapalle,Thatipalem
467,Gummalakshmipuram,Gadivankadhara
468,Vararamachandrapuram,Verapapanikunta
469,Meliaputti,Mutyanibonthu
470,Maredumilli,Pamuleru
471,Vajrapukothuru,Gopaladoravuru
472,Ananthagiri,Pedabayalu
473,Gangavaram,Rajampalem
474,Peda Bayalu,Goddiputtu
475,Hukumpeta,Koditala
476,Gudem Kotha Veedhi,Gilligondi
477,Ananthagiri,Burugulapadu
478,Munchingi Puttu,Dasariputtu
479,Palasamudram,Allipoolagunta
480,Velairpadu,Parentapalle
481,Gangavaram,Yellapuram
482,Puttur,Nandimangalam (R)
483,Munchingi Puttu,Surtaniputtu
484,Mylavaram,Golla Uppalapadu
485,Chintapalle,Lakshmipuram
486,Bogole,Mallayapalem
487,Maredumilli,Dorachintalapalem
488,Munchingi Puttu,Sojjavada
489,Chintapalle,Seetharamapuram
490,Pedana,Kummarigunta
491,Araku Valley,Dungiyaputtu
492,Araku Valley,Sukuruguda
493,Paderu,Cheedikudda
494,Santhipuram,Sonnegownnipalle
495,Peda Bayalu,Landulu
496,G.Madugula,Reemali
497,Devarapalle,Chinasompuram
498,Koyyuru,Puttakota
499,Chandra Sekhara Puram,Thungodu
500,Ananthagiri,Billakamba
501,Paderu,Boddaputtu
502,Chittamur,Gollapalem
503,Ananthagiri,Rayipadu
504,Araku Valley,Cheedivalasa
505,Peda Bayalu,Boddaputtu
506,Ananthagiri,Chatakamba
507,Chandra Sekhara Puram,Thummagunta
508,Koyyuru,Vudutha
509,Balayapalle,Gollagunta
510,Munchingi Puttu,Buradagunta
511,G.Madugula,Ambalamamidi
512,Paderu,Kondajeelugu
513,Araku Valley,Tungagedda
514,Polavaram,Chilakaluru
515,Peda Bayalu,Pulusumamidi
516,Peda Bayalu,Mulalova
517,Komarada,Nandapuram
518,G.Madugula,Kodimamidi
519,Araku Valley,Validipanasa
520,Paderu,Pothurajumetta
521,Hukumpeta,Duggam
522,Polaki,Kondalakkivalasa
523,Hukumpeta,Kondayyapadu
524,Komarada,Bedda
525,Addateegala,Paidiputtapadu
526,Araku Valley,Kikkatiguda
527,Addanki,Nannurupadu
528,Anantapur,Jangalapalle
529,Maredumilli,Devarapalle
530,Pichatur,Appambattu
531,Gandlapenta,Chamachenubylu
532,Veeravasaram,Mentepudi
533,Araku Valley,Pappuduvalasa
534,Gooty,Dharmapuram
535,Vajrapukothuru,Pedavanka
536,Parvathipuram,Gangapuram
537,Varadaiahpalem,Ambur
538,Vadamalapeta,Kadirimangalam
539,Nandigama,Torragudipadu
540,Mandasa,Radhakrishnapuram
541,Pusapatirega,Poram
542,Santhanuthala Padu,Konagani Vari Palem
543,Kajuluru,Tanumalla
544,Kasimkota,Gobburupalem
545,Chillakur,Annambaka
546,Ranastalam,Gosam
547,Makkuva,Panasabhadra
548,Nellipaka,Boddugudem
549,Amadalavalasa,Vanjangipeta
550,Srikalahasti,Yarlapudi
551,Mentada,Meesalapeta
552,Nellimarla,Koradapeta
553,Munchingi Puttu,Peda Guda
554,Chitvel,Thimmayapalem
555,Amadalavalasa,Chittivalasa
556,Ranastalam,Devunipalavalasa
557,Vangara,Jagannadhavalasa
558,Anumasamudrampeta,Kondameeda Konduru
559,Mantralayam,Singarajanahalli
560,Pellakur,Pennepalle
561,Kotha Patnam,Payakari Khandrika
562,Yerpedu,Pagali
563,Ganapavaram,Velagapalle
564,Santhabommali,Pedatungam
565,Mudinepalle,Mulakalapalle
566,Kurupam,Podi
567,Sydapuram,Gulimcherla
568,Thamballapalle,Diguvapalem
569,Atchutapuram,Janguluru
570,Ganguvarisigadam,Abothulapeta
571,Ojili,Thirumalapudi
572,Ananthagiri,Jeenapadu
573,Kanchili,Sirthali
574,Khajipet,Kommaluru
575,Dakkili,Koneswarabhatlapalle
576,Pullampeta,Utukuru Venkatampalle
577,Salur,Chora
578,Hukumpeta,Kuthangi
579,Peda Bayalu,Jakkum
580,Banaganapalle,Gulam Nabipeta
581,Ananthagiri,Getuvalasa
582,Y. Ramavaram,Jangalathota
583,Y. Ramavaram,Perikivalasa
584,Nellipaka,Yerragunta
585,Munchingi Puttu,Panasaputtu
586,Paderu,Karakaputtu
587,Buttayagudem,Pandugudem
588,Salur,Tupakivalasa
589,Araku Valley,Kappalagondi
590,Ananthagiri,Mulyaguda
591,Sullurpeta,Sulluru Japthikattubadi
592,Venkatagiri,Akbarnivasa Khandrika
593,Koilkuntla,Mogalai Uppalur
594,Allur,Velicherla
595,Kalasapadu,Musalareddipalle
596,Peda Bayalu,Injari
597,Nakkapalle,Nallamattipalem
598,Salur,Solipiguda
599,Paderu,Digasampalu
600,Dwarakatirumala,Dadavalli
601,Maredumilli,Nurupudi
602,Gummalakshmipuram,Chinaravikona
603,Paderu,Vanugupalle
604,Peda Bayalu,Kondru
605,Palakonda,Gudivada
606,Renigunta,Dharmapuram Khandriga
607,Srirangarajapuram,Jangalapalle
608,Gangadhara Nellore,Errabodireddipalle
609,Chittamur,Addepudi
610,Gummalakshmipuram,Mangalapuram
611,Sarubujjili,Buddivalasa
612,Y. Ramavaram,Villarti
613,Kaluvoya,Koturupalle
614,Dattirajeru,Timiteru
615,Ananthagiri,Cheedivalasa
616,Velairpadu,Kakisnoor
617,Pedakakani,Devarayabhotlapalem
618,Pileru,Avuvaripalle
619,Peda Bayalu,Kurtada
620,Paderu,Kandulapalem
621,K.V.B.Puram,Brahmana Cheruvu
622,Varadaiahpalem,Kovurpadu
623,Gudem Kotha Veedhi,Lubbagunta
624,Ojili,Acharlaparlapalle
625,Santhakaviti,Shalipeta
626,Venkatagirikota,Vibhuthiyela Nagaram
627,Kambhamvaripalle,Hissapalle
628,Salur,Pagulachennuru
629,Rampachodavaram,Veerlamamidi
630,Santhakaviti,Medamarthi
631,G.Madugula,Galipadu
632,Seethampeta,Jajjuva
633,Kuppam,Venkatesapuram
634,Hukumpeta,Kamayyapeta
635,G.Madugula,Matchyapuram
636,Paderu,Munchingi Puttu
637,Chintapalle,Krishnapuram
638,Seethampeta,Chinavangara
639,G.Madugula,Vennelakota
640,Devipatnam,Anguluru
641,Addateegala,Jalluru
642,Pedda Thippasamudram,Chinnaponguppalle
643,Gudivada,Siddhantam
644,G.Madugula,Balijipeta
645,Ipur,Vanikunta
646,Kaikalur,Seetanapalle
647,Pedapudi,Puttakonda
648,Kambhamvaripalle,Sorakayalapet
649,Santhakaviti,Mandarada
650,Musunuru,Balive
651,Therlam,Arasabalaga
652,Dagadarthi,Bodagudipadu
653,Santhamaguluru,Gurijepalle
654,Srikalahasti,Subbanaidu -Khandriga
655,Devarapalle,Mulakalapalle
656,Pusapatirega,Govindapuram
657,Chennekothapalle,Veldurthi
658,Yadamarri,Bhoomireddipalle
659,Jalumuru,Syrigam
660,Gangadhara Nellore,Pachigunta
661,Kaligiri,Lakshmipuram
662,Koyyuru,Revallu
663,Varadaiahpalem,Kadur
664,Burja,Lakkupuram
665,Amadalavalasa,Thogaragam
666,Jalumuru,Komanapalle
667,Gudipala,Dakshina Brahmana Palle
668,Kalidindi,Amaravathi
669,Penumantra,Satyavaram
670,Srikalahasti,Rachagunneri
671,Hanumanthuni Padu,Valicherla
672,Gooty,Turakapalle
673,Thottambedu,Poyya
674,Pamur,Tiragandla Dinne
675,Denkada,Singavaram
676,Garugubilli,Thotapalle
677,Nandigam,Kaviti
678,Kaluvoya,Telugurayapuram
679,Guntakal,Thimmapuram
680,Ganapavaram,Seethalamkonde Padu
681,Uppalaguptam,Munipalle
682,Pichatur,Sivagiri
683,Chinnamandem,Bonamala
684,Alur,Manikurthi
685,Donakonda,Vaddipadu
686,Kotabommali,Vandrada
687,Pedapudi,Chintapalle
688,Gantyada,Siripuram
689,Attili,Gummampadu
690,Indukurpet,Nidumusali
691,Mudigubba,Peddachigullarevu
692,Nathavaram,Anantha Padmanabhapuram
693,Satyavedu,Pedukuppam
694,Srikalahasti,Narayanapuram
695,Chandra Sekhara Puram,Yekunam Puram
696,Pamur,Renimadugu
697,Kamalapuram,Yerragudipadu
698,Pedavegi,Chakrayagudem
699,Veeraghattam,Palametta Viziaramapuram
700,Doravarisatram,Tallampadu
701,Garugubilli,Garugubilli
702,Katrenikona,Chirrayanam
703,Kamalapuram,Yellareddipalle
704,Srirangarajapuram,Muddikuppam
705,Atchutapuram,Bhogapuram
706,Anumasamudrampeta,Pedabbipuram
707,Penukonda,Adadakulapalle
708,Chatrai,Kothagudem
709,Garividi,Seripeta
710,Veeraghattam,Narsipuram
711,Kovvur,Chidipi
712,Nandivada,Thummalapalle
713,Vadamalapeta,T.C.Agraharam
714,Achanta,Koderu
715,Agiripalle,Chopparametla
716,Devarapalle,Thimiram
717,Roddam,Bucharla
718,Maddikera (East),Burujula
719,Tekkali,Chakipalle
720,Bellamkonda,Venkatayapalem
721,Bhogapuram,Amatam Ravivalasa
722,Tiruvuru,Akkapalem
723,Rolugunta,Kanchugummala
724,Buttayagudem,Korsavarigudem
725,Pamidimukkala,Veeranki
726,Butchayyapeta,Kondempudi
727,Halaharvi,Medehal
728,Palakonda,Tumarada
729,Mandavalli,Nutchumilli
730,Atchutapuram,Maruturu
731,Garladinne,Kesavapuram
732,Vontimitta,Konarajupalle
733,Karvetinagar,Kasavarajapura Agraharam
734,Pachipenta,Kottavalasa
735,Ojili,Rachapalem
736,Araku Valley,Baski
737,Gudivada,Seri Velpur
738,Komarada,Gumada
739,Kurupam,Gumma
740,Butchayyapeta,Lingabhupala Puram Agraharam
741,Tiruvuru,Peddavaram
742,Ponduru,Banam
743,Pusapatirega,Alladapalem
744,Kallur,Remadur
745,Sabbavaram,Yerukunaidupalem
746,Ojili,Inugunta
747,Vidapanakal,Malapuram
748,Sidhout,Vontithatipalle
749,Hanumanthuni Padu,Muppala Padu
750,Veligandla,Marapagunta
751,Mandavalli,Singanapudi
752,Lingala,Gunakanepalle
753,Gudivada,Kalvapudi Agraharam
754,Mopidevi,Kaptanupalem
755,Uyyalawada,Kondupalle
756,Jammalamadugu,Gandikota
757,Nandalur,Nookinenipalle
758,Nellimarla,Atmaramuni Agraharam
759,Ramachandrapuram,Gangireddi Palle
760,Palakonda,Annavaram
761,Mundlamuru,Jammalamadaka
762,Krosuru,Balemarru
763,Devipatnam,Manturu
764,Pathapatnam,Chinnamallipuram
765,Vedurukuppam,Thippinaidupalle
766,Chennur,Mundlapalle
767,S.Rayavaram,Sarvasiddi
768,Jangareddigudem,Akkampeta
769,Koyyuru,Ravanapalle
770,Merakamudidam,Korlam
771,Palakonda,Potli
772,Peddavadugur,Molakathalla
773,Pedana,Pullapadu
774,G.Konduru,Duggiralapadu
775,Veligandla,Kankanam Padu Agraharam
776,Rampachodavaram,Bornagudem
777,Rambilli,Kattabolu
778,Bapatla,Gopapuram
779,Sarubujjili,Kondavalasa
780,Bestawaripeta,Peda Obeneni Palle
781,Rajampet,Brahmanapalle
782,Mandavalli,Dayyampadu
783,Koyyalagudem,Eduvadalapalem
784,Mudinepalle,Peruru
785,Seethanagaram,K.Seetharampuram
786,Chandarlapadu,Kasarabada
787,Saravakota,Dharmalakshmipuram
788,Anantapur,Sajjalakalva
789,Araku Valley,Peda Valasa
790,Dakkili,Dandavolu
791,Vontimitta,Gollapalle
792,Maredumilli,Kundada
793,Bobbili,Kasidoravalasa
794,Gorantla,Maredipalle
795,Gummagatta,S.Hosahalli
796,Hiramandalam,Durbalapuram
797,Paderu,Devapuram
798,Denkada,Munginapalle
799,Mantralayam,Dibbanadoddi
800,Kaligiri,Venkannapalem
