STATE,DISTRICT,SUB_DISTRICT,POPULATION,VILLAGE_COUNT,AVG_VILLAGE_POPULATION,RANK_IN_STATE
Andhra Pradesh,Krishna,Kaikalur,75125.0,23,3266.0,108
Andhra Pradesh,West Godavari,Nallajerla,75031.0,14,5359.0,109
Andhra Pradesh,Srikakulam,Gara,75017.0,24,3126.0,110
Andhra Pradesh,Chittoor,Venkatagirikota,74919.0,31,2417.0,111
Andhra Pradesh,Prakasam,Addanki,74904.0,18,4161.0,112
Andhra Pradesh,Prakasam,Darsi,74862.0,32,2339.0,113
Andhra Pradesh,West Godavari,Akividu,74766.0,15,4984.0,114
Andhra Pradesh,Vizianagaram,Srungavarapukota,74500.0,39,1910.0,115
Andhra Pradesh,Srikakulam,Narasannapeta,74284.0,45,1651.0,116
Andhra Pradesh,East Godavari,Jaggampeta,74239.0,18,4124.0,117
Andhra Pradesh,Kurnool,Nandikotkur,74199.0,11,6745.0,118
Andhra Pradesh,Srikakulam,Sompeta,74138.0,33,2247.0,119
Andhra Pradesh,Anantapur,Uravakonda,74105.0,22,3368.0,120
Andhra Pradesh,West Godavari,Yelamanchili,74101.0,15,4940.0,121
Andhra Pradesh,Visakhapatanam,Nakkapalle,74050.0,31,2389.0,122
Andhra Pradesh,East Godavari,Karapa,73851.0,19,3887.0,123
Andhra Pradesh,Vizianagaram,Nellimarla,73788.0,33,2236.0,124
Andhra Pradesh,Krishna,Vuyyuru,73767.0,12,6147.0,125
Andhra Pradesh,East Godavari,P.Gannavaram,73739.0,18,4097.0,126
Andhra Pradesh,East Godavari,Katrenikona,73685.0,14,5263.0,127
Andhra Pradesh,Srikakulam,Palakonda,73592.0,45,1635.0,128
Andhra Pradesh,Chittoor,Nagari,73564.0,20,3678.0,129
Andhra Pradesh,East Godavari,Malikipuram,73517.0,11,6683.0,130
Andhra Pradesh,East Godavari,Sakhinetipalle,73323.0,8,9165.0,131
Andhra Pradesh,Anantapur,Madakasira,73222.0,19,3854.0,132
Andhra Pradesh,Srikakulam,Ponduru,73175.0,38,1926.0,133
Andhra Pradesh,West Godavari,Mogalthur,73136.0,6,12189.0,134
Andhra Pradesh,Krishna,Kalidindi,73003.0,14,5215.0,135
Andhra Pradesh,East Godavari,Kirlampudi,72868.0,17,4286.0,136
Andhra Pradesh,Spsr Nellore,Buchireddipalem,72566.0,14,5183.0,137
Andhra Pradesh,Y.S.R.,S.Mydukur,72356.0,16,4522.0,138
Andhra Pradesh,West Godavari,Devarapalle,72324.0,13,5563.0,139
Andhra Pradesh,Guntur,Sattenapalle,72293.0,17,4253.0,140
Andhra Pradesh,Spsr Nellore,Kovur,72051.0,10,7205.0,141
Andhra Pradesh,West Godavari,Undrajavaram,71580.0,15,4772.0,142
Andhra Pradesh,Kurnool,Allagadda,71576.0,20,3579.0,143
Andhra Pradesh,East Godavari,Alamuru,71472.0,15,4765.0,144
Andhra Pradesh,Krishna,Tiruvuru,71411.0,19,3758.0,145
Andhra Pradesh,West Godavari,Koyyalagudem,71249.0,18,3958.0,146
Andhra Pradesh,Chittoor,Tirupati (Rural),71172.0,28,2542.0,147
Andhra Pradesh,Spsr Nellore,Unknown Subdistricts Of India,71170.0,1,71170.0,148
Andhra Pradesh,West Godavari,Pentapadu,71164.0,21,3389.0,149
Andhra Pradesh,East Godavari,Razole,71061.0,13,5466.0,150
Andhra Pradesh,Srikakulam,Kaviti,70945.0,21,3378.0,151
Andhra Pradesh,Srikakulam,Tekkali,70872.0,49,1446.0,152
Andhra Pradesh,East Godavari,Seethanagaram,70454.0,17,4144.0,153
Andhra Pradesh,East Godavari,Kajuluru,70085.0,20,3504.0,154
Andhra Pradesh,Srikakulam,Kotabommali,69906.0,43,1626.0,155
Andhra Pradesh,Anantapur,Gorantla,69714.0,18,3873.0,156
Andhra Pradesh,Visakhapatanam,S.Rayavaram,69460.0,22,3157.0,157
Andhra Pradesh,Y.S.R.,Jammalamadugu,69442.0,18,3858.0,158
Andhra Pradesh,Srikakulam,Vajrapukothuru,69398.0,58,1197.0,159
Andhra Pradesh,West Godavari,Peravali,69312.0,14,4951.0,160
Andhra Pradesh,Chittoor,Bangarupalem,69253.0,27,2565.0,161
Andhra Pradesh,East Godavari,Pedapudi,69175.0,17,4069.0,162
Andhra Pradesh,Vizianagaram,Pusapatirega,68945.0,36,1915.0,163
Andhra Pradesh,Prakasam,Naguluppala Padu,68911.0,18,3828.0,164
Andhra Pradesh,West Godavari,Kalla,68867.0,13,5297.0,165
Andhra Pradesh,Guntur,Chebrolu,68814.0,10,6881.0,166
Andhra Pradesh,West Godavari,Penugonda,68755.0,14,4911.0,167
Andhra Pradesh,Spsr Nellore,Naidupet,68631.0,33,2080.0,168
Andhra Pradesh,Visakhapatanam,Madugula,68552.0,49,1399.0,169
Andhra Pradesh,West Godavari,Pedapadu,68547.0,23,2980.0,170
Andhra Pradesh,East Godavari,Anaparthy,68519.0,9,7613.0,171
Andhra Pradesh,Visakhapatanam,Yelamanchili,68480.0,14,4891.0,172
Andhra Pradesh,Srikakulam,Regidi Amadalavalasa,68422.0,51,1342.0,173
Andhra Pradesh,Kurnool,Kodumur,68395.0,10,6840.0,174
Andhra Pradesh,Krishna,Pedana,68367.0,30,2279.0,175
Andhra Pradesh,Krishna,Mudinepalle,68235.0,32,2132.0,176
Andhra Pradesh,West Godavari,Attili,68196.0,14,4871.0,177
Andhra Pradesh,East Godavari,Mamidikuduru,68158.0,17,4009.0,178
Andhra Pradesh,Kurnool,Atmakur,68131.0,12,5678.0,179
Andhra Pradesh,Krishna,Gampalagudem,68108.0,21,3243.0,180
Andhra Pradesh,East Godavari,Allavaram,68079.0,14,4863.0,181
Andhra Pradesh,Guntur,Dachepalle,68062.0,12,5672.0,182
Andhra Pradesh,Kurnool,Kurnool,67827.0,19,3570.0,183
Andhra Pradesh,Kurnool,Kowthalam,67808.0,33,2055.0,184
Andhra Pradesh,East Godavari,Biccavolu,67717.0,14,4837.0,185
Andhra Pradesh,Krishna,Kanchikacherla,67662.0,15,4511.0,186
Andhra Pradesh,East Godavari,Gokavaram,67557.0,14,4826.0,187
Andhra Pradesh,Vizianagaram,Gantyada,67546.0,45,1501.0,188
Andhra Pradesh,East Godavari,I. Polavaram,67454.0,11,6132.0,189
Andhra Pradesh,Srikakulam,Laveru,67344.0,41,1643.0,190
Andhra Pradesh,Kurnool,Peapally,67080.0,18,3727.0,191
Andhra Pradesh,Visakhapatanam,Ravikamatham,66951.0,33,2029.0,192
Andhra Pradesh,West Godavari,Ganapavaram,66656.0,25,2666.0,193
Andhra Pradesh,Chittoor,Renigunta,66563.0,32,2080.0,194
Andhra Pradesh,West Godavari,Poduru,66560.0,14,4754.0,195
Andhra Pradesh,East Godavari,Kapileswarapuram,66535.0,15,4436.0,196
Andhra Pradesh,West Godavari,Iragavaram,66292.0,21,3157.0,197
Andhra Pradesh,East Godavari,Mummidivaram,66180.0,11,6016.0,198
Andhra Pradesh,East Godavari,K Gangavaram,66136.0,24,2756.0,199
Andhra Pradesh,East Godavari,Rayavaram,66106.0,10,6611.0,200
Andhra Pradesh,West Godavari,Undi,65898.0,20,3295.0,201
Andhra Pradesh,West Godavari,Denduluru,65768.0,26,2530.0,202
Andhra Pradesh,Srikakulam,Polaki,65734.0,42,1565.0,203
Andhra Pradesh,Spsr Nellore,Venkatagiri,65659.0,53,1239.0,204
Andhra Pradesh,West Godavari,Palacoderu,65648.0,14,4689.0,205
Andhra Pradesh,Guntur,Tadikonda,65306.0,12,5442.0,206
Andhra Pradesh,Y.S.R.,Yerraguntla,65254.0,16,4078.0,207
Andhra Pradesh,East Godavari,Ainavilli,65253.0,16,4078.0,208
Andhra Pradesh,Prakasam,Vetapalem,65115.0,5,13023.0,209
Andhra Pradesh,East Godavari,Ambajipeta,65006.0,13,5000.0,210
Andhra Pradesh,Srikakulam,Santhabommali,64845.0,39,1663.0,211
Andhra Pradesh,Chittoor,Gangadhara Nellore,64831.0,33,1965.0,212
Andhra Pradesh,Vizianagaram,Garividi,64714.0,35,1849.0,213
Andhra Pradesh,Guntur,Pedakakani,64693.0,10,6469.0,214
Andhra Pradesh,Vizianagaram,Balijipeta,64400.0,32,2013.0,215
Andhra Pradesh,West Godavari,Chagallu,64371.0,11,5852.0,216
Andhra Pradesh,Visakhapatanam,Chintapalle,64360.0,231,279.0,217
Andhra Pradesh,Srikakulam,Srikakulam,64291.0,24,2679.0,218
Andhra Pradesh,Guntur,Amaravathi,64221.0,16,4014.0,219
Andhra Pradesh,West Godavari,Veeravasaram,64142.0,14,4582.0,220
Andhra Pradesh,Prakasam,Martur,63954.0,13,4920.0,221
Andhra Pradesh,Srikakulam,Veeraghattam,63882.0,39,1638.0,222
Andhra Pradesh,Kurnool,Gonegandla,63584.0,16,3974.0,223
Andhra Pradesh,West Godavari,Dwarakatirumala,63399.0,31,2045.0,224
Andhra Pradesh,West Godavari,Achanta,63358.0,10,6336.0,225
Andhra Pradesh,Krishna,Kankipadu,63243.0,19,3329.0,226
Andhra Pradesh,East Godavari,Atreyapuram,63059.0,15,4204.0,227
Andhra Pradesh,Vizianagaram,Kothavalasa,62897.0,28,2246.0,228
Andhra Pradesh,Srikakulam,Santhakaviti,62752.0,50,1255.0,229
Andhra Pradesh,Spsr Nellore,Podalakur,62742.0,36,1743.0,230
Andhra Pradesh,West Godavari,Bhimadole,62579.0,11,5689.0,231
Andhra Pradesh,Visakhapatanam,Kasimkota,62259.0,26,2395.0,232
Andhra Pradesh,Vizianagaram,Gurla,62251.0,39,1596.0,233
Andhra Pradesh,Guntur,Gurazala,62246.0,10,6225.0,234
Andhra Pradesh,West Godavari,Penumantra,62190.0,16,3887.0,235
Andhra Pradesh,Visakhapatanam,Nathavaram,62140.0,35,1775.0,236
Andhra Pradesh,Kurnool,Devanakonda,61923.0,14,4423.0,237
Andhra Pradesh,Guntur,Nadendla,61906.0,10,6191.0,238
Andhra Pradesh,Guntur,Nekarikallu,61859.0,10,6186.0,239
Andhra Pradesh,Chittoor,Pileru,61824.0,15,4122.0,240
Andhra Pradesh,Visakhapatanam,Butchayyapeta,61751.0,38,1625.0,241
Andhra Pradesh,Krishna,Mylavaram,61461.0,17,3615.0,242
Andhra Pradesh,East Godavari,Uppalaguptam,61446.0,14,4389.0,243
Andhra Pradesh,Kurnool,Pattikonda,60951.0,11,5541.0,244
Andhra Pradesh,Guntur,Nizampatnam,60929.0,8,7616.0,245
Andhra Pradesh,Srikakulam,Kothuru,60876.0,34,1790.0,246
Andhra Pradesh,Guntur,Phirangipuram,60869.0,14,4348.0,247
Andhra Pradesh,Guntur,Duggirala,60420.0,14,4316.0,248
Andhra Pradesh,Guntur,Rompicherla,60270.0,14,4305.0,249
Andhra Pradesh,Srikakulam,Jalumuru,60200.0,52,1158.0,250
Andhra Pradesh,Srikakulam,Kanchili,59845.0,52,1151.0,251
Andhra Pradesh,West Godavari,Gopalapuram,59728.0,18,3318.0,252
Andhra Pradesh,Vizianagaram,Therlam,59691.0,46,1298.0,253
Andhra Pradesh,Visakhapatanam,K.Kotapadu,59498.0,32,1859.0,254
Andhra Pradesh,Spsr Nellore,Atmakur,59242.0,21,2821.0,255
Andhra Pradesh,Vizianagaram,Cheepurupalle,58968.0,30,1966.0,256
Andhra Pradesh,Chittoor,Puttur,58958.0,11,5360.0,257
Andhra Pradesh,Visakhapatanam,Atchutapuram,58899.0,33,1785.0,258
Andhra Pradesh,Prakasam,Tangutur,58871.0,14,4205.0,259
Andhra Pradesh,Krishna,Pamarru,58827.0,25,2353.0,260
Andhra Pradesh,Guntur,Cherukupalle H/O Arumbaka,58484.0,10,5848.0,261
Andhra Pradesh,Srikakulam,Pathapatnam,58381.0,41,1424.0,262
Andhra Pradesh,Kurnool,Kosigi,58316.0,23,2535.0,263
Andhra Pradesh,Krishna,Vatsavai,58282.0,23,2534.0,264
Andhra Pradesh,Anantapur,Mudigubba,58212.0,26,2239.0,265
Andhra Pradesh,Vizianagaram,Jami,58191.0,27,2155.0,266
Andhra Pradesh,Krishna,Agiripalle,57900.0,21,2757.0,267
Andhra Pradesh,Anantapur,Kanekal,57559.0,17,3386.0,268
Andhra Pradesh,Visakhapatanam,Devarapalle,57536.0,36,1598.0,269
Andhra Pradesh,Guntur,Kollipara,57510.0,14,4108.0,270
Andhra Pradesh,Spsr Nellore,Indukurpet,57460.0,16,3591.0,271
Andhra Pradesh,Prakasam,Podili,57424.0,31,1852.0,272
Andhra Pradesh,Prakasam,Santhanuthala Padu,57104.0,16,3569.0,273
Andhra Pradesh,Vizianagaram,Merakamudidam,56996.0,39,1461.0,274
Andhra Pradesh,Krishna,Chandarlapadu,56885.0,20,2844.0,275
Andhra Pradesh,Chittoor,Pakala,56802.0,15,3787.0,276
Andhra Pradesh,Krishna,Vissannapet,56732.0,10,5673.0,277
Andhra Pradesh,Krishna,Movva,56529.0,17,3325.0,278
Andhra Pradesh,Prakasam,Singarayakonda,56390.0,8,7049.0,279
Andhra Pradesh,Vizianagaram,Seethanagaram,56331.0,42,1341.0,280
Andhra Pradesh,Guntur,Medikonduru,56094.0,12,4675.0,281
Andhra Pradesh,Visakhapatanam,Gudem Kotha Veedhi,56094.0,165,340.0,281
Andhra Pradesh,Vizianagaram,Gajapathinagaram,56094.0,34,1650.0,281
Andhra Pradesh,Kurnool,Sirvel,56042.0,12,4670.0,284
Andhra Pradesh,Visakhapatanam,Araku Valley,55959.0,153,366.0,285
Andhra Pradesh,Prakasam,Pamur,55957.0,27,2072.0,286
Andhra Pradesh,Guntur,Kollur,55942.0,11,5086.0,287
Andhra Pradesh,Prakasam,Parchur,55840.0,14,3989.0,288
Andhra Pradesh,Visakhapatanam,Sabbavaram,55818.0,29,1925.0,289
Andhra Pradesh,Guntur,Krosuru,55782.0,15,3719.0,290
Andhra Pradesh,Guntur,Atchampet,55722.0,18,3096.0,291
Andhra Pradesh,Krishna,Pamidimukkala,55713.0,27,2063.0,292
Andhra Pradesh,Kurnool,Veldurthi,55649.0,16,3478.0,293
Andhra Pradesh,Spsr Nellore,Venkatachalam,55592.0,20,2780.0,294
Andhra Pradesh,Krishna,Gudlavalleru,55592.0,22,2527.0,294
Andhra Pradesh,Visakhapatanam,Anandapuram,55525.0,32,1735.0,296
Andhra Pradesh,Guntur,Bollapalle,55378.0,14,3956.0,297
Andhra Pradesh,Kurnool,Owk,55144.0,19,2902.0,298
Andhra Pradesh,Kurnool,Aspari,55115.0,20,2756.0,299
Andhra Pradesh,Srikakulam,Ganguvarisigadam,55087.0,42,1312.0,300
Andhra Pradesh,Prakasam,Tripuranthakam,55061.0,15,3671.0,301
Andhra Pradesh,Krishna,Musunuru,55036.0,16,3440.0,302
Andhra Pradesh,West Godavari,Lingapalem,54844.0,24,2285.0,303
Andhra Pradesh,Vizianagaram,Dattirajeru,54786.0,44,1245.0,304
Andhra Pradesh,Chittoor,B.Kothakota,54688.0,9,6076.0,305
Andhra Pradesh,East Godavari,Rangampeta,54623.0,15,3642.0,306
Andhra Pradesh,Visakhapatanam,Makavarapalem,54622.0,25,2185.0,307
Andhra Pradesh,Guntur,Thullur,54492.0,19,2868.0,308
Andhra Pradesh,West Godavari,Tallapudi,54477.0,16,3405.0,309
Andhra Pradesh,Krishna,Unguturu,54347.0,27,2013.0,310
Andhra Pradesh,Y.S.R.,Porumamilla,53879.0,26,2072.0,311
Andhra Pradesh,Prakasam,Yerragondapalem,53874.0,24,2245.0,312
Andhra Pradesh,Krishna,Challapalle,53813.0,11,4892.0,313
Andhra Pradesh,Vizianagaram,Jiyyammavalasa,53810.0,56,961.0,314
Andhra Pradesh,Prakasam,Santhamaguluru,53608.0,10,5361.0,315
Andhra Pradesh,West Godavari,Kamavarapukota,53592.0,13,4122.0,316
Andhra Pradesh,East Godavari,Sankhavaram,53539.0,30,1785.0,317
Andhra Pradesh,Krishna,G.Konduru,53499.0,23,2326.0,318
Andhra Pradesh,Krishna,Guduru,53250.0,25,2130.0,319
Andhra Pradesh,Srikakulam,Nandigam,53192.0,100,532.0,320
Andhra Pradesh,Prakasam,Mundlamuru,53132.0,28,1898.0,321
Andhra Pradesh,Chittoor,Chandragiri,53051.0,23,2307.0,322
Andhra Pradesh,Visakhapatanam,Paderu,53049.0,191,278.0,323
Andhra Pradesh,Y.S.R.,T Sundupalle,53013.0,12,4418.0,324
Andhra Pradesh,Chittoor,Yerpedu,53001.0,33,1606.0,325
Andhra Pradesh,Spsr Nellore,Allur,52990.0,14,3785.0,326
Andhra Pradesh,Anantapur,Bukkaraya Samudram,52985.0,14,3785.0,327
Andhra Pradesh,Vizianagaram,Denkada,52893.0,28,1889.0,328
Andhra Pradesh,Anantapur,Parigi,52852.0,16,3303.0,329
Andhra Pradesh,Anantapur,Amarapuram,52717.0,8,6590.0,330
Andhra Pradesh,Visakhapatanam,Kotauratla,52653.0,20,2633.0,331
Andhra Pradesh,Krishna,Kruthivennu,52632.0,15,3509.0,332
Andhra Pradesh,Vizianagaram,Bhogapuram,52572.0,19,2767.0,333
Andhra Pradesh,East Godavari,Gandepalle,52462.0,13,4036.0,334
Andhra Pradesh,Visakhapatanam,Koyyuru,52437.0,139,377.0,335
Andhra Pradesh,Chittoor,Peddapanjani,52371.0,22,2381.0,336
Andhra Pradesh,Srikakulam,Seethampeta,52282.0,113,463.0,337
Andhra Pradesh,Krishna,Bantumilli,52257.0,18,2903.0,338
Andhra Pradesh,Guntur,Nuzendla,52130.0,20,2607.0,339
Andhra Pradesh,Kurnool,Tuggali,51931.0,12,4328.0,340
Andhra Pradesh,Chittoor,Thavanampalle,51927.0,24,2164.0,341
Andhra Pradesh,West Godavari,T.Narasapuram,51881.0,22,2358.0,342
Andhra Pradesh,West Godavari,Buttayagudem,51878.0,50,1038.0,343
Andhra Pradesh,Y.S.R.,Pulivendla,51783.0,8,6473.0,344
Andhra Pradesh,Kurnool,Nandavaram,51767.0,19,2725.0,345
Andhra Pradesh,Anantapur,Narpala,51728.0,12,4311.0,346
Andhra Pradesh,Kurnool,Mantralayam,51620.0,20,2581.0,347
Andhra Pradesh,Krishna,Chatrai,51558.0,16,3222.0,348
Andhra Pradesh,Krishna,Nagayalanka,51479.0,11,4680.0,349
Andhra Pradesh,East Godavari,Rowthulapudi,51400.0,38,1353.0,350
Andhra Pradesh,Guntur,Nagaram,51388.0,12,4282.0,351
Andhra Pradesh,Guntur,Bhattiprolu,51385.0,12,4282.0,352
Andhra Pradesh,Spsr Nellore,Kota,51172.0,19,2693.0,353
Andhra Pradesh,Krishna,Mandavalli,51161.0,31,1650.0,354
Andhra Pradesh,Chittoor,Pedda Thippasamudram,51040.0,18,2836.0,355
Andhra Pradesh,Chittoor,Santhipuram,50952.0,60,849.0,356
Andhra Pradesh,Visakhapatanam,Golugonda,50949.0,34,1499.0,357
Andhra Pradesh,Chittoor,Ramakuppam,50874.0,37,1375.0,358
