STATE,DISTRICT,SUB_DISTRICT,VILLAGE_COUNT,TOTAL_POP,AVG_VILLAGE_POP,PCT_OF_DISTRICT,RANK_IN_DISTRICT
Andhra Pradesh,Anantapur,Peddavadugur,24,42012.0,1751.0,1.54,35
Andhra Pradesh,Anantapur,Singanamala,19,41186.0,2168.0,1.51,36
Andhra Pradesh,Anantapur,Bukkapatnam,8,40701.0,5088.0,1.5,37
Andhra Pradesh,Anantapur,Beluguppa,14,40546.0,2896.0,1.49,38
Andhra Pradesh,Anantapur,Somandepalle,20,40219.0,2011.0,1.48,39
Andhra Pradesh,Anantapur,Brahmasamudram,13,39518.0,3040.0,1.45,40
Andhra Pradesh,Anantapur,D.Hirehal,17,39394.0,2317.0,1.45,41
Andhra Pradesh,Anantapur,Nallamada,10,39152.0,3915.0,1.44,42
Andhra Pradesh,Anantapur,Kothacheruvu,21,38665.0,1841.0,1.42,43
Andhra Pradesh,Anantapur,Rayadurg,14,38365.0,2740.0,1.41,44
Andhra Pradesh,Anantapur,Settur,9,38281.0,4253.0,1.41,45
Andhra Pradesh,Anantapur,Kanaganapalle,10,36864.0,3686.0,1.35,46
Andhra Pradesh,Anantapur,Putlur,17,36814.0,2166.0,1.35,47
Andhra Pradesh,Anantapur,Atmakur,8,35995.0,4499.0,1.32,48
Andhra Pradesh,Anantapur,Kudair,13,35819.0,2755.0,1.32,49
Andhra Pradesh,Anantapur,Bathalapalle,11,35318.0,3211.0,1.3,50
Andhra Pradesh,Anantapur,Rolla,7,34888.0,4984.0,1.28,51
Andhra Pradesh,Anantapur,Gooty,22,34710.0,1578.0,1.28,52
Andhra Pradesh,Anantapur,Raptadu,11,34139.0,3104.0,1.25,53
Andhra Pradesh,Anantapur,Yellanur,19,33739.0,1776.0,1.24,54
Andhra Pradesh,Anantapur,Peddapappur,17,33556.0,1974.0,1.23,55
Andhra Pradesh,Anantapur,Kadiri,16,31970.0,1998.0,1.17,56
Andhra Pradesh,Anantapur,Agali,8,31886.0,3986.0,1.17,57
Andhra Pradesh,Anantapur,Tadimarri,11,31731.0,2885.0,1.17,58
Andhra Pradesh,Anantapur,Ramagiri,10,31474.0,3147.0,1.16,59
Andhra Pradesh,Anantapur,Nallacheruvu,11,30186.0,2744.0,1.11,60
Andhra Pradesh,Anantapur,Nambulipulikunta,12,30134.0,2511.0,1.11,61
Andhra Pradesh,Anantapur,Amadagur,13,26093.0,2007.0,0.96,62
Andhra Pradesh,Anantapur,Gandlapenta,12,24118.0,2010.0,0.89,63
Andhra Pradesh,Chittoor,Kuppam,61,84089.0,1379.0,2.89,1
Andhra Pradesh,Chittoor,Madanapalle,14,74987.0,5356.0,2.58,2
Andhra Pradesh,Chittoor,Venkatagirikota,31,74919.0,2417.0,2.58,3
Andhra Pradesh,Chittoor,Bangarupalem,27,69253.0,2565.0,2.38,4
Andhra Pradesh,Chittoor,Gangadhara Nellore,33,64831.0,1965.0,2.23,5
Andhra Pradesh,Chittoor,Pileru,15,61824.0,4122.0,2.13,6
Andhra Pradesh,Chittoor,Pakala,15,56802.0,3787.0,1.95,7
Andhra Pradesh,Chittoor,Chittoor,33,54765.0,1660.0,1.88,8
Andhra Pradesh,Chittoor,B.Kothakota,9,54688.0,6076.0,1.88,9
Andhra Pradesh,Chittoor,Srikalahasti,61,54064.0,886.0,1.86,10
Andhra Pradesh,Chittoor,Chandragiri,23,53051.0,2307.0,1.82,11
Andhra Pradesh,Chittoor,Yerpedu,33,53001.0,1606.0,1.82,12
Andhra Pradesh,Chittoor,Peddapanjani,22,52371.0,2381.0,1.8,13
Andhra Pradesh,Chittoor,Thavanampalle,24,51927.0,2164.0,1.79,14
Andhra Pradesh,Chittoor,Pedda Thippasamudram,18,51040.0,2836.0,1.76,15
Andhra Pradesh,Chittoor,Santhipuram,60,50952.0,849.0,1.75,16
Andhra Pradesh,Chittoor,Ramakuppam,37,50874.0,1375.0,1.75,17
Andhra Pradesh,Chittoor,Punganur,18,50470.0,2804.0,1.74,18
Andhra Pradesh,Chittoor,Baireddipalle,24,50094.0,2087.0,1.72,19
Andhra Pradesh,Chittoor,Yadamarri,24,49437.0,2060.0,1.7,20
Andhra Pradesh,Chittoor,Nagari,20,49192.0,2460.0,1.69,21
Andhra Pradesh,Chittoor,Satyavedu,30,48992.0,1633.0,1.69,22
Andhra Pradesh,Chittoor,Irala,18,48891.0,2716.0,1.68,23
Andhra Pradesh,Chittoor,Gangavaram,16,48879.0,3055.0,1.68,24
Andhra Pradesh,Chittoor,Tirupati (Rural),26,46625.0,1793.0,1.6,25
Andhra Pradesh,Chittoor,Kalikiri,14,46413.0,3315.0,1.6,26
Andhra Pradesh,Chittoor,Unknown Subdistricts Of India,2,45799.0,22900.0,1.58,27
Andhra Pradesh,Chittoor,Ramasamudram,15,45078.0,3005.0,1.55,28
Andhra Pradesh,Chittoor,Vedurukuppam,30,44995.0,1500.0,1.55,29
Andhra Pradesh,Chittoor,Karvetinagar,25,44735.0,1789.0,1.54,30
Andhra Pradesh,Chittoor,Valmikipuram,17,44725.0,2631.0,1.54,31
Andhra Pradesh,Chittoor,Puthalapattu,20,44676.0,2234.0,1.54,32
Andhra Pradesh,Chittoor,Kambhamvaripalle,20,43353.0,2168.0,1.49,33
Andhra Pradesh,Chittoor,Somala,13,42987.0,3307.0,1.48,34
Andhra Pradesh,Chittoor,Renigunta,31,42701.0,1377.0,1.47,35
Andhra Pradesh,Chittoor,Gudipala,29,42387.0,1462.0,1.46,36
Andhra Pradesh,Chittoor,Gurramkonda,17,41769.0,2457.0,1.44,37
Andhra Pradesh,Chittoor,Mulakalacheruvu,16,41711.0,2607.0,1.43,38
Andhra Pradesh,Chittoor,Varadaiahpalem,30,41547.0,1385.0,1.43,39
Andhra Pradesh,Chittoor,Thottambedu,40,41290.0,1032.0,1.42,40
Andhra Pradesh,Chittoor,Chowdepalle,15,40410.0,2694.0,1.39,41
Andhra Pradesh,Chittoor,K.V.B.Puram,37,39432.0,1066.0,1.36,42
Andhra Pradesh,Chittoor,Penumuru,17,38912.0,2289.0,1.34,43
Andhra Pradesh,Chittoor,Thamballapalle,16,38693.0,2418.0,1.33,44
Andhra Pradesh,Chittoor,Pulicherla,15,38554.0,2570.0,1.33,45
Andhra Pradesh,Chittoor,Gudupalle,47,38480.0,819.0,1.32,46
Andhra Pradesh,Chittoor,Kurabalakota,7,37686.0,5384.0,1.3,47
Andhra Pradesh,Chittoor,Peddamandyam,9,34453.0,3828.0,1.18,48
Andhra Pradesh,Chittoor,Kalakada,16,34279.0,2142.0,1.18,49
Andhra Pradesh,Chittoor,Nagalapuram,12,33886.0,2824.0,1.17,50
Andhra Pradesh,Chittoor,Sodam,13,33771.0,2598.0,1.16,51
Andhra Pradesh,Chittoor,Srirangarajapuram,34,33762.0,993.0,1.16,52
Andhra Pradesh,Chittoor,Pichatur,17,31389.0,1846.0,1.08,53
Andhra Pradesh,Chittoor,Vadamalapeta,19,31291.0,1647.0,1.08,54
Andhra Pradesh,Chittoor,Nimmanapalle,10,31166.0,3117.0,1.07,55
Andhra Pradesh,Chittoor,Buchinaidu Kandriga,24,30885.0,1287.0,1.06,56
Andhra Pradesh,Chittoor,Ramachandrapuram,17,30533.0,1796.0,1.05,57
Andhra Pradesh,Chittoor,Puttur,11,29522.0,2684.0,1.02,58
Andhra Pradesh,Chittoor,Vijayapuram,17,29317.0,1725.0,1.01,59
Andhra Pradesh,Chittoor,Nindra,15,27905.0,1860.0,0.96,60
Andhra Pradesh,Chittoor,Rompicherla,7,27359.0,3908.0,0.94,61
Andhra Pradesh,Chittoor,Palamaner,14,27309.0,1951.0,0.94,62
Andhra Pradesh,Chittoor,Yerravaripalem,10,25173.0,2517.0,0.87,63
Andhra Pradesh,Chittoor,Chinnagottigallu,10,24910.0,2491.0,0.86,64
Andhra Pradesh,Chittoor,Narayanavanam,15,24778.0,1652.0,0.85,65
Andhra Pradesh,Chittoor,Palasamudram,19,20948.0,1103.0,0.72,66
Andhra Pradesh,Chittoor,Tirupati (Urban),3,12447.0,4149.0,0.43,67
Andhra Pradesh,East Godavari,Rajanagaram,17,92916.0,5466.0,2.4,1
Andhra Pradesh,East Godavari,Kadiam,7,83857.0,11980.0,2.17,2
Andhra Pradesh,East Godavari,Thondangi,15,82005.0,5467.0,2.12,3
Andhra Pradesh,East Godavari,Thallarevu,13,79912.0,6147.0,2.07,4
Andhra Pradesh,East Godavari,Prathipadu,35,78914.0,2255.0,2.04,5
Andhra Pradesh,East Godavari,Samalkota,17,77946.0,4585.0,2.01,6
Andhra Pradesh,East Godavari,Kothapalle,16,77366.0,4835.0,2.0,7
Andhra Pradesh,East Godavari,Tuni,20,77089.0,3854.0,1.99,8
Andhra Pradesh,East Godavari,Ravulapalem,11,76944.0,6995.0,1.99,9
Andhra Pradesh,East Godavari,Kothapeta,10,76866.0,7687.0,1.99,10
Andhra Pradesh,East Godavari,Korukonda,18,76645.0,4258.0,1.98,11
Andhra Pradesh,East Godavari,Gollaprolu,10,76352.0,7635.0,1.97,12
Andhra Pradesh,East Godavari,Yeleswaram,12,76285.0,6357.0,1.97,13
Andhra Pradesh,East Godavari,Mandapeta,13,76229.0,5864.0,1.97,14
Andhra Pradesh,East Godavari,Jaggampeta,18,74239.0,4124.0,1.92,15
Andhra Pradesh,East Godavari,Karapa,19,73851.0,3887.0,1.91,16
Andhra Pradesh,East Godavari,P.Gannavaram,18,73739.0,4097.0,1.91,17
Andhra Pradesh,East Godavari,Pithapuram,26,73706.0,2835.0,1.9,18
Andhra Pradesh,East Godavari,Katrenikona,14,73685.0,5263.0,1.9,19
Andhra Pradesh,East Godavari,Malikipuram,11,73517.0,6683.0,1.9,20
Andhra Pradesh,East Godavari,Sakhinetipalle,8,73323.0,9165.0,1.89,21
Andhra Pradesh,East Godavari,Kirlampudi,17,72868.0,4286.0,1.88,22
Andhra Pradesh,East Godavari,Peddapuram,20,72525.0,3626.0,1.87,23
Andhra Pradesh,East Godavari,Amalapuram,16,71648.0,4478.0,1.85,24
Andhra Pradesh,East Godavari,Alamuru,15,71472.0,4765.0,1.85,25
Andhra Pradesh,East Godavari,Razole,13,71061.0,5466.0,1.84,26
Andhra Pradesh,East Godavari,Seethanagaram,17,70454.0,4144.0,1.82,27
Andhra Pradesh,East Godavari,Kajuluru,20,70085.0,3504.0,1.81,28
Andhra Pradesh,East Godavari,Pedapudi,17,69175.0,4069.0,1.79,29
Andhra Pradesh,East Godavari,Ramachandrapuram,20,68792.0,3440.0,1.78,30
Andhra Pradesh,East Godavari,Anaparthy,9,68519.0,7613.0,1.77,31
Andhra Pradesh,East Godavari,Mamidikuduru,17,68158.0,4009.0,1.76,32
Andhra Pradesh,East Godavari,Allavaram,14,68079.0,4863.0,1.76,33
Andhra Pradesh,East Godavari,Biccavolu,14,67717.0,4837.0,1.75,34
Andhra Pradesh,East Godavari,Gokavaram,14,67557.0,4826.0,1.75,35
Andhra Pradesh,East Godavari,I. Polavaram,11,67454.0,6132.0,1.74,36
Andhra Pradesh,East Godavari,Kapileswarapuram,15,66535.0,4436.0,1.72,37
Andhra Pradesh,East Godavari,Mummidivaram,11,66180.0,6016.0,1.71,38
Andhra Pradesh,East Godavari,K Gangavaram,24,66136.0,2756.0,1.71,39
Andhra Pradesh,East Godavari,Rayavaram,10,66106.0,6611.0,1.71,40
Andhra Pradesh,East Godavari,Ainavilli,16,65253.0,4078.0,1.69,41
Andhra Pradesh,East Godavari,Ambajipeta,13,65006.0,5000.0,1.68,42
Andhra Pradesh,East Godavari,Atreyapuram,15,63059.0,4204.0,1.63,43
Andhra Pradesh,East Godavari,Uppalaguptam,14,61446.0,4389.0,1.59,44
Andhra Pradesh,East Godavari,Rangampeta,15,54623.0,3642.0,1.41,45
Andhra Pradesh,East Godavari,Sankhavaram,30,53539.0,1785.0,1.38,46
Andhra Pradesh,East Godavari,Gandepalle,13,52462.0,4036.0,1.36,47
Andhra Pradesh,East Godavari,Rowthulapudi,38,51400.0,1353.0,1.33,48
Andhra Pradesh,East Godavari,Kotananduru,14,47404.0,3386.0,1.23,49
Andhra Pradesh,East Godavari,Kakinada (Rural),9,43226.0,4803.0,1.12,50
Andhra Pradesh,East Godavari,Rajavommangi,61,40033.0,656.0,1.03,51
Andhra Pradesh,East Godavari,Rajahmundry Rural,4,39347.0,9837.0,1.02,52
Andhra Pradesh,East Godavari,Addateegala,88,38387.0,436.0,0.99,53
Andhra Pradesh,East Godavari,Chintur,79,36763.0,465.0,0.95,54
Andhra Pradesh,East Godavari,Nellipaka,61,35311.0,579.0,0.91,55
Andhra Pradesh,East Godavari,Rampachodavaram,76,28743.0,378.0,0.74,56
Andhra Pradesh,East Godavari,Y. Ramavaram,124,27950.0,225.0,0.72,57
Andhra Pradesh,East Godavari,Devipatnam,45,27898.0,620.0,0.72,58
Andhra Pradesh,East Godavari,Gangavaram,55,25938.0,472.0,0.67,59
Andhra Pradesh,East Godavari,Kunavaram,48,24597.0,512.0,0.64,60
Andhra Pradesh,East Godavari,Vararamachandrapuram,54,23411.0,434.0,0.6,61
Andhra Pradesh,East Godavari,Maredumilli,67,18010.0,269.0,0.47,62
Andhra Pradesh,East Godavari,Unknown Subdistricts Of India,1,9904.0,9904.0,0.26,63
Andhra Pradesh,Guntur,Piduguralla,10,105870.0,10587.0,3.34,1
Andhra Pradesh,Guntur,Narasaraopet,15,84339.0,5623.0,2.66,2
Andhra Pradesh,Guntur,Sattenapalle,17,72293.0,4253.0,2.28,3
Andhra Pradesh,Guntur,Tenali,11,70351.0,6396.0,2.22,4
Andhra Pradesh,Guntur,Bapatla,18,69125.0,3840.0,2.18,5
Andhra Pradesh,Guntur,Chebrolu,10,68814.0,6881.0,2.17,6
Andhra Pradesh,Guntur,Dachepalle,12,68062.0,5672.0,2.15,7
Andhra Pradesh,Guntur,Mangalagiri,10,66812.0,6681.0,2.11,8
Andhra Pradesh,Guntur,Ponnur,18,65427.0,3635.0,2.07,9
Andhra Pradesh,Guntur,Tadikonda,12,65306.0,5442.0,2.06,10
Andhra Pradesh,Guntur,Pedakakani,10,64693.0,6469.0,2.04,11
Andhra Pradesh,Guntur,Amaravathi,16,64221.0,4014.0,2.03,12
Andhra Pradesh,Guntur,Gurazala,10,62246.0,6225.0,1.97,13
Andhra Pradesh,Guntur,Nadendla,10,61906.0,6191.0,1.96,14
Andhra Pradesh,Guntur,Nekarikallu,10,61859.0,6186.0,1.95,15
Andhra Pradesh,Guntur,Repalle,16,61655.0,3853.0,1.95,16
Andhra Pradesh,Guntur,Nizampatnam,8,60929.0,7616.0,1.92,17
Andhra Pradesh,Guntur,Phirangipuram,14,60869.0,4348.0,1.92,18
Andhra Pradesh,Guntur,Duggirala,14,60420.0,4316.0,1.91,19
Andhra Pradesh,Guntur,Rompicherla,14,60270.0,4305.0,1.9,20
Andhra Pradesh,Guntur,Cherukupalle H/O Arumbaka,10,58484.0,5848.0,1.85,21
Andhra Pradesh,Guntur,Kollipara,14,57510.0,4108.0,1.82,22
Andhra Pradesh,Guntur,Medikonduru,12,56094.0,4675.0,1.77,23
Andhra Pradesh,Guntur,Kollur,11,55942.0,5086.0,1.77,24
Andhra Pradesh,Guntur,Krosuru,15,55782.0,3719.0,1.76,25
Andhra Pradesh,Guntur,Atchampet,18,55722.0,3096.0,1.76,26
Andhra Pradesh,Guntur,Chilakaluripet H/O.Purushotha Patnam,13,55523.0,4271.0,1.75,27
Andhra Pradesh,Guntur,Bollapalle,14,55378.0,3956.0,1.75,28
Andhra Pradesh,Guntur,Thullur,19,54492.0,2868.0,1.72,29
Andhra Pradesh,Guntur,Nuzendla,20,52130.0,2607.0,1.65,30
Andhra Pradesh,Guntur,Nagaram,12,51388.0,4282.0,1.62,31
Andhra Pradesh,Guntur,Bhattiprolu,12,51385.0,4282.0,1.62,32
Andhra Pradesh,Guntur,Karempudi,10,50317.0,5032.0,1.59,33
Andhra Pradesh,Guntur,Edlapadu,12,49492.0,4124.0,1.56,34
Andhra Pradesh,Guntur,Karlapalem,5,49243.0,9849.0,1.56,35
Andhra Pradesh,Guntur,Prathipadu,10,49077.0,4908.0,1.55,36
Andhra Pradesh,Guntur,Machavaram,9,48808.0,5423.0,1.54,37
Andhra Pradesh,Guntur,Pedakurapadu,14,48569.0,3469.0,1.53,38
Andhra Pradesh,Guntur,Guntur,6,48157.0,8026.0,1.52,39
Andhra Pradesh,Guntur,Vinukonda,21,47219.0,2249.0,1.49,40
Andhra Pradesh,Guntur,Amruthalur,13,46960.0,3612.0,1.48,41
Andhra Pradesh,Guntur,Tsundur,12,46824.0,3902.0,1.48,42
Andhra Pradesh,Guntur,Rentachintala,9,46622.0,5180.0,1.47,43
Andhra Pradesh,Guntur,Veldurthi,9,45927.0,5103.0,1.45,44
Andhra Pradesh,Guntur,Vatticherukuru,13,44952.0,3458.0,1.42,45
Andhra Pradesh,Guntur,Durgi,10,44640.0,4464.0,1.41,46
Andhra Pradesh,Guntur,Vemuru,12,44079.0,3673.0,1.39,47
Andhra Pradesh,Guntur,Pedanandipadu,12,44042.0,3670.0,1.39,48
Andhra Pradesh,Guntur,Kakumanu,11,43871.0,3988.0,1.39,49
Andhra Pradesh,Guntur,Ipur,13,43453.0,3343.0,1.37,50
Andhra Pradesh,Guntur,Macherla,10,42873.0,4287.0,1.35,51
Andhra Pradesh,Guntur,Rajupalem,8,42345.0,5293.0,1.34,52
Andhra Pradesh,Guntur,Muppalla,9,41507.0,4612.0,1.31,53
Andhra Pradesh,Guntur,Pittalavanipalem,6,38892.0,6482.0,1.23,54
Andhra Pradesh,Guntur,Savalyapuram H/O Kanamarlapudi,7,36857.0,5265.0,1.16,55
Andhra Pradesh,Guntur,Tadepalle,8,35418.0,4427.0,1.12,56
Andhra Pradesh,Guntur,Guntur East,4,31326.0,7832.0,0.99,57
Andhra Pradesh,Guntur,Bellamkonda,13,30791.0,2369.0,0.97,58
Andhra Pradesh,Guntur,Unknown Subdistricts Of India,1,8124.0,8124.0,0.26,59
Andhra Pradesh,Krishna,Ibrahimpatnam,15,91254.0,6084.0,3.26,1
Andhra Pradesh,Krishna,Nandigama,25,85405.0,3416.0,3.05,2
Andhra Pradesh,Krishna,Bapulapadu,28,83286.0,2975.0,2.97,3
Andhra Pradesh,Krishna,Gannavaram,23,80404.0,3496.0,2.87,4
Andhra Pradesh,Krishna,Kaikalur,23,75125.0,3266.0,2.68,5
Andhra Pradesh,Krishna,Vuyyuru,12,73767.0,6147.0,2.63,6
Andhra Pradesh,Krishna,Kalidindi,14,73003.0,5215.0,2.6,7
Andhra Pradesh,Krishna,Tiruvuru,19,71411.0,3758.0,2.55,8
Andhra Pradesh,Krishna,Machilipatnam,28,71168.0,2542.0,2.54,9
Andhra Pradesh,Krishna,Mudinepalle,32,68235.0,2132.0,2.43,10
Andhra Pradesh,Krishna,Gampalagudem,21,68108.0,3243.0,2.43,11
Andhra Pradesh,Krishna,Kanchikacherla,15,67662.0,4511.0,2.41,12
Andhra Pradesh,Krishna,Jaggayyapeta,23,66917.0,2909.0,2.39,13
Andhra Pradesh,Krishna,Nuzvid,25,66311.0,2652.0,2.37,14
Andhra Pradesh,Krishna,Kankipadu,19,63243.0,3329.0,2.26,15
Andhra Pradesh,Krishna,Penamaluru,7,61799.0,8828.0,2.2,16
Andhra Pradesh,Krishna,Mylavaram,17,61461.0,3615.0,2.19,17
Andhra Pradesh,Krishna,Pamarru,25,58827.0,2353.0,2.1,18
Andhra Pradesh,Krishna,Vatsavai,23,58282.0,2534.0,2.08,19
Andhra Pradesh,Krishna,Agiripalle,21,57900.0,2757.0,2.07,20
Andhra Pradesh,Krishna,Chandarlapadu,20,56885.0,2844.0,2.03,21
Andhra Pradesh,Krishna,Vissannapet,10,56732.0,5673.0,2.02,22
Andhra Pradesh,Krishna,Movva,17,56529.0,3325.0,2.02,23
Andhra Pradesh,Krishna,Pamidimukkala,27,55713.0,2063.0,1.99,24
Andhra Pradesh,Krishna,Gudlavalleru,22,55592.0,2527.0,1.98,25
Andhra Pradesh,Krishna,Musunuru,16,55036.0,3440.0,1.96,26
Andhra Pradesh,Krishna,Unguturu,27,54347.0,2013.0,1.94,27
Andhra Pradesh,Krishna,Challapalle,11,53813.0,4892.0,1.92,28
Andhra Pradesh,Krishna,G.Konduru,23,53499.0,2326.0,1.91,29
Andhra Pradesh,Krishna,Guduru,25,53250.0,2130.0,1.9,30
Andhra Pradesh,Krishna,Kruthivennu,15,52632.0,3509.0,1.88,31
Andhra Pradesh,Krishna,Bantumilli,18,52257.0,2903.0,1.86,32
Andhra Pradesh,Krishna,Chatrai,16,51558.0,3222.0,1.84,33
Andhra Pradesh,Krishna,Nagayalanka,11,51479.0,4680.0,1.84,34
Andhra Pradesh,Krishna,Mandavalli,31,51161.0,1650.0,1.83,35
Andhra Pradesh,Krishna,Penuganchiprolu,13,50695.0,3900.0,1.81,36
Andhra Pradesh,Krishna,Veerullapadu,24,49985.0,2083.0,1.78,37
Andhra Pradesh,Krishna,Koduru,9,49571.0,5508.0,1.77,38
Andhra Pradesh,Krishna,A.Konduru,13,44930.0,3456.0,1.6,39
Andhra Pradesh,Krishna,Ghantasala,20,43869.0,2193.0,1.57,40
Andhra Pradesh,Krishna,Reddigudem,11,42976.0,3907.0,1.53,41
Andhra Pradesh,Krishna,Avanigadda,7,41839.0,5977.0,1.49,42
Andhra Pradesh,Krishna,Nandivada,22,40989.0,1863.0,1.46,43
Andhra Pradesh,Krishna,Thotlavalluru,16,39685.0,2480.0,1.42,44
Andhra Pradesh,Krishna,Gudivada,27,39157.0,1450.0,1.4,45
Andhra Pradesh,Krishna,Pedana,29,38754.0,1336.0,1.38,46
Andhra Pradesh,Krishna,Mopidevi,17,36012.0,2118.0,1.28,47
Andhra Pradesh,Krishna,Pedaparupudi,18,33099.0,1839.0,1.18,48
Andhra Pradesh,Krishna,Vijayawada (Rural),8,19316.0,2415.0,0.69,49
Andhra Pradesh,Krishna,Unknown Subdistricts Of India,1,17845.0,17845.0,0.64,50
Andhra Pradesh,Kurnool,Dhone,16,102005.0,6375.0,3.8,1
Andhra Pradesh,Kurnool,Banaganapalle,38,89030.0,2343.0,3.31,2
Andhra Pradesh,Kurnool,Adoni,37,76751.0,2074.0,2.86,3
Andhra Pradesh,Kurnool,Nandikotkur,11,74199.0,6745.0,2.76,4
Andhra Pradesh,Kurnool,Allagadda,20,71576.0,3579.0,2.66,5
Andhra Pradesh,Kurnool,Kodumur,10,68395.0,6840.0,2.54,6
Andhra Pradesh,Kurnool,Atmakur,12,68131.0,5678.0,2.53,7
Andhra Pradesh,Kurnool,Kurnool,19,67827.0,3570.0,2.52,8
Andhra Pradesh,Kurnool,Kowthalam,33,67808.0,2055.0,2.52,9
Andhra Pradesh,Kurnool,Peapally,18,67080.0,3727.0,2.5,10
Andhra Pradesh,Kurnool,Yemmiganur,18,65708.0,3650.0,2.44,11
Andhra Pradesh,Kurnool,Gonegandla,16,63584.0,3974.0,2.37,12
Andhra Pradesh,Kurnool,Devanakonda,14,61923.0,4423.0,2.3,13
Andhra Pradesh,Kurnool,Pattikonda,11,60951.0,5541.0,2.27,14
Andhra Pradesh,Kurnool,Kosigi,23,58316.0,2535.0,2.17,15
Andhra Pradesh,Kurnool,Sirvel,12,56042.0,4670.0,2.09,16
Andhra Pradesh,Kurnool,Veldurthi,16,55649.0,3478.0,2.07,17
Andhra Pradesh,Kurnool,Aspari,20,55115.0,2756.0,2.05,18
Andhra Pradesh,Kurnool,Nandyal,18,55115.0,3062.0,2.05,18
Andhra Pradesh,Kurnool,Tuggali,12,51931.0,4328.0,1.93,20
Andhra Pradesh,Kurnool,Nandavaram,19,51767.0,2725.0,1.93,21
Andhra Pradesh,Kurnool,Mantralayam,20,51620.0,2581.0,1.92,22
Andhra Pradesh,Kurnool,Orvakal,20,50199.0,2510.0,1.87,23
Andhra Pradesh,Kurnool,Owk,18,49428.0,2746.0,1.84,24
Andhra Pradesh,Kurnool,Alur,18,49066.0,2726.0,1.83,25
